23	37	64	44	25	7
46	23	26	17	68	20
45	31	21	1	49	21
20	54	61	56	64	7
56	9	17	3	6	25
17	22	21	19	51	19
42	56	22	55	45	14
50	69	16	38	11	19
29	36	14	61	57	17
40	5	31	50	14	6
28	50	22	45	20	8
18	17	39	64	56	12
50	69	54	62	40	19
12	17	10	9	23	9
61	17	19	26	62	15
67	18	16	55	27	18
38	2	20	17	39	20
42	64	54	8	24	24
24	55	52	61	8	21
53	8	52	6	26	21
33	56	53	10	45	24
29	4	61	3	18	25
60	66	22	59	57	7
12	24	6	41	68	9
69	43	54	44	61	22
36	6	19	13	51	18
40	17	36	25	13	5
69	12	65	59	30	16
38	25	62	63	24	6
7	36	31	15	34	8
7	36	31	15	34	8
26	62	39	13	44	2
44	46	37	39	69	26
27	13	41	59	1	20
40	35	34	47	23	10
15	48	23	27	53	6
7	4	14	59	46	22
54	26	17	21	47	7
11	9	5	33	64	21
28	26	58	47	49	3
33	51	3	37	57	21
69	25	35	14	58	24
7	24	50	49	33	4
12	61	30	29	33	26
42	39	18	2	37	12
58	28	51	41	36	24
16	60	3	56	9	3
44	15	1	13	3	25
20	61	64	1	69	20
35	63	37	9	50	11
2	28	51	58	24	7
36	60	55	37	25	6
50	19	55	62	20	9
32	30	36	28	58	6
59	28	26	24	63	16
53	8	54	27	13	4
61	51	37	46	35	13
17	31	28	32	39	26
48	32	44	50	23	25
56	6	4	30	16	18
12	21	14	34	20	22
51	48	12	26	14	13
26	3	19	6	44	1
35	27	57	66	38	10
57	54	29	22	18	8
14	45	69	41	42	4
69	54	49	30	66	8
56	37	69	32	66	11
1	69	19	3	13	23
61	10	49	65	63	7
23	63	62	66	22	24
8	25	12	41	64	15
21	25	10	23	8	22
45	24	56	55	57	19
68	48	67	39	53	26
31	24	25	17	18	24
24	63	35	57	17	19
59	20	6	57	29	22
32	14	8	58	67	17
62	41	21	52	6	26
43	19	69	28	67	7
66	15	7	38	32	15
7	26	16	23	6	4
17	68	19	43	39	13
64	43	60	9	15	4
35	20	49	26	24	19
12	30	47	62	36	9
33	21	45	11	28	11
16	1	54	63	69	18
1	40	28	48	45	12
19	42	21	7	69	12
44	32	60	5	53	9
63	51	59	61	50	4
40	66	9	64	63	17
18	23	2	61	1	9
29	8	40	59	10	26
54	9	68	4	16	21
45	19	42	53	48	16
46	37	29	53	68	8
36	32	22	58	10	10
65	14	46	68	61	13
13	62	10	53	32	21
63	22	5	43	57	24
32	26	20	38	58	3
66	57	5	69	21	13
54	41	9	3	21	25
60	39	33	4	46	6
55	10	5	67	28	9
38	28	33	32	62	15
45	5	47	54	22	3
39	4	48	45	11	9
68	17	20	63	32	19
62	31	56	46	29	8
31	21	11	41	59	21
18	49	66	17	59	9
24	22	23	62	45	5
18	1	51	15	26	26
39	21	48	41	63	6
1	19	52	40	37	15
61	26	45	5	22	13
68	63	14	8	61	24
51	53	36	23	60	15
53	20	54	46	8	13
65	9	44	36	32	1
8	62	31	36	15	11
32	18	31	48	45	16
2	29	9	27	42	9
25	67	54	44	13	5
30	16	41	48	53	16
57	41	50	26	1	11
42	23	59	46	33	4
2	22	63	19	18	19
16	10	52	40	55	17
6	62	32	47	65	19
52	10	61	28	13	2
9	3	33	7	31	20
33	5	42	38	28	19
37	64	17	9	5	2
49	20	42	14	66	5
52	17	16	13	6	25
9	60	64	43	57	10
39	12	49	69	20	17
18	62	66	68	28	22
45	25	23	67	52	2
41	9	58	40	53	12
55	69	23	64	59	13
1	16	13	43	3	24
37	63	12	24	3	10
17	16	42	41	29	4
1	28	3	67	57	9
30	23	44	58	16	4
38	52	42	51	28	21
25	68	40	54	33	3
16	40	8	48	1	10
39	18	66	37	26	15
32	21	12	44	66	15
49	64	48	41	53	20
27	26	33	8	10	22
3	45	25	14	18	7
21	17	37	44	19	16
7	61	41	47	32	3
