23	25	37	44	64	7	
17	23	26	46	68	20	
1	21	31	45	49	21	
20	54	56	61	64	7	
3	6	9	17	56	25	
17	19	21	22	51	19	
22	42	45	55	56	14	
11	16	38	50	69	19	
14	29	36	57	61	17	
5	14	31	40	50	6	
20	22	28	45	50	8	
17	18	39	56	64	12	
40	50	54	62	69	19	
9	10	12	17	23	9	
17	19	26	61	62	15	
16	18	27	55	67	18	
2	17	20	38	39	20	
8	24	42	54	64	24	
8	24	52	55	61	21	
6	8	26	52	53	21	
10	33	45	53	56	24	
3	4	18	29	61	25	
22	57	59	60	66	7	
6	12	24	41	68	9	
43	44	54	61	69	22	
6	13	19	36	51	18	
13	17	25	36	40	5	
12	30	59	65	69	16	
24	25	38	62	63	6	
7	15	31	34	36	8	
7	15	31	34	36	8	
13	26	39	44	62	2	
37	39	44	46	69	26	
1	13	27	41	59	20	
23	34	35	40	47	10	
15	23	27	48	53	6	
4	7	14	46	59	22	
17	21	26	47	54	7	
5	9	11	33	64	21	
26	28	47	49	58	3	
3	33	37	51	57	21	
14	25	35	58	69	24	
7	24	33	49	50	4	
12	29	30	33	61	26	
2	18	37	39	42	12	
28	36	41	51	58	24	
3	9	16	56	60	3	
1	3	13	15	44	25	
1	20	61	64	69	20	
9	35	37	50	63	11	
2	24	28	51	58	7	
25	36	37	55	60	6	
19	20	50	55	62	9	
28	30	32	36	58	6	
24	26	28	59	63	16	
8	13	27	53	54	4	
35	37	46	51	61	13	
17	28	31	32	39	26	
23	32	44	48	50	25	
4	6	16	30	56	18	
12	14	20	21	34	22	
12	14	26	48	51	13	
3	6	19	26	44	1	
27	35	38	57	66	10	
18	22	29	54	57	8	
14	41	42	45	69	4	
30	49	54	66	69	8	
32	37	56	66	69	11	
1	3	13	19	69	23	
10	49	61	63	65	7	
22	23	62	63	66	24	
8	12	25	41	64	15	
8	10	21	23	25	22	
24	45	55	56	57	19	
39	48	53	67	68	26	
17	18	24	25	31	24	
17	24	35	57	63	19	
6	20	29	57	59	22	
8	14	32	58	67	17	
6	21	41	52	62	26	
19	28	43	67	69	7	
7	15	32	38	66	15	
6	7	16	23	26	4	
17	19	39	43	68	13	
9	15	43	60	64	4	
20	24	26	35	49	19	
12	30	36	47	62	9	
11	21	28	33	45	11	
1	16	54	63	69	18	
1	28	40	45	48	12	
7	19	21	42	69	12	
5	32	44	53	60	9	
50	51	59	61	63	4	
9	40	63	64	66	17	
1	2	18	23	61	9	
8	10	29	40	59	26	
4	9	16	54	68	21	
19	42	45	48	53	16	
29	37	46	53	68	8	
10	22	32	36	58	10	
14	46	61	65	68	13	
10	13	32	53	62	21	
5	22	43	57	63	24	
